Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Date_new,month,Day_Perc_Change,Trend
HDFCBANK,EQ,15-Nov-2018,1957.75,1961.9,1977.3,1931.2,       1973.10,1975.15,1970.02,2598131,5118369305.6,81525,1644704,63.3,2018-11-15,Nov-2018,0.8887753799003972,Slight Positive
HDFCBANK,EQ,16-Nov-2018,1975.15,1981.0,2013.0,1980.0,       2002.80,2004.3,2002.21,3953304,7915327251.4,159078,2739135,69.29,2018-11-16,Nov-2018,1.475837278181391,Positve
HDFCBANK,EQ,19-Nov-2018,2004.3,2011.0,2021.0,2001.9,       2016.10,2013.9,2014.67,3071607,6188263925.5,83092,2360849,76.86,2018-11-19,Nov-2018,0.47897021403982,Slight or No Change
HDFCBANK,EQ,20-Nov-2018,2013.9,2013.0,2019.6,1999.05,       2012.75,2012.45,2011.58,1426292,2869107308.9,85294,741376,51.98,2018-11-20,Nov-2018,-0.0719996027608194,Slight or No Change
HDFCBANK,EQ,21-Nov-2018,2012.45,2012.75,2023.95,2004.0,       2019.45,2018.75,2015.13,1636401,3297556596.95,76850,1053255,64.36,2018-11-21,Nov-2018,0.3130512559318177,Slight or No Change
HDFCBANK,EQ,22-Nov-2018,2018.75,2013.25,2035.0,2000.15,       2006.25,2005.5,2023.07,3243638,6562105543.15,115047,1938559,59.76,2018-11-22,Nov-2018,-0.6563467492260111,Slight Negative
HDFCBANK,EQ,26-Nov-2018,2005.5,2013.9,2052.0,2012.05,       2050.00,2049.8,2040.0,4546109,9274060072.9,165102,3534083,77.74,2018-11-26,Nov-2018,2.208925454998756,Positve
HDFCBANK,EQ,27-Nov-2018,2049.8,2041.05,2067.9,2040.75,       2064.00,2064.0,2056.61,3223860,6630237996.2,120598,2433069,75.47,2018-11-27,Nov-2018,0.6927505122450883,Slight Positive
HDFCBANK,EQ,28-Nov-2018,2064.0,2065.0,2098.6,2060.1,       2091.00,2089.25,2087.01,3255277,6793787378.2,118889,2212588,67.97,2018-11-28,Nov-2018,1.223352713178305,Positve
HDFCBANK,EQ,29-Nov-2018,2089.25,2101.0,2137.4,2094.0,       2132.25,2131.05,2115.77,7977159,16877830185.75,137395,4939239,61.92,2018-11-29,Nov-2018,2.0007179609907944,Positve
HDFCBANK,EQ,30-Nov-2018,2131.05,2130.0,2137.55,2110.0,       2120.45,2128.45,2123.64,3260231,6923545037.8,113720,2370067,72.7,2018-11-30,Nov-2018,-0.12200558410174756,Slight or No Change
HDFCBANK,EQ,03-Dec-2018,2128.45,2131.0,2142.0,2106.9,       2111.50,2113.3,2124.73,2699964,5736686717.7,127153,1880609,69.65,2018-12-03,Dec-2018,-0.7117855716601063,Slight Negative
HDFCBANK,EQ,04-Dec-2018,2113.3,2105.4,2111.0,2078.6,       2086.90,2085.55,2087.81,2039355,4257781100.75,105043,1377607,67.55,2018-12-04,Dec-2018,-1.3131121941986512,Negative
HDFCBANK,EQ,05-Dec-2018,2085.55,2078.0,2105.3,2075.95,       2103.00,2099.2,2095.14,2949711,6180060012.2,126657,2011056,68.18,2018-12-05,Dec-2018,0.6545036081609057,Slight Positive
HDFCBANK,EQ,06-Dec-2018,2099.2,2089.7,2101.65,2085.0,       2096.80,2097.05,2092.75,2932563,6137116154.55,112545,1841640,62.8,2018-12-06,Dec-2018,-0.10241996951217969,Slight or No Change
HDFCBANK,EQ,07-Dec-2018,2097.05,2106.7,2118.0,2080.3,       2115.00,2107.6,2099.32,2475980,5197871655.75,131649,1350610,54.55,2018-12-07,Dec-2018,0.5030876707756038,Slight Positive
HDFCBANK,EQ,10-Dec-2018,2107.6,2065.9,2104.8,2065.9,       2084.50,2088.75,2086.54,2728764,5693679871.65,138891,1801264,66.01,2018-12-10,Dec-2018,-0.8943822357183495,Slight Negative
HDFCBANK,EQ,11-Dec-2018,2088.75,2056.0,2071.3,2032.0,       2056.15,2059.55,2051.47,4726445,9696150473.75,241564,2468088,52.22,2018-12-11,Dec-2018,-1.397965290245351,Negative
HDFCBANK,EQ,12-Dec-2018,2059.55,2066.95,2089.8,2060.1,       2084.60,2085.3,2078.41,2842622,5908146554.45,146407,1922295,67.62,2018-12-12,Dec-2018,1.2502731179141024,Positve
HDFCBANK,EQ,13-Dec-2018,2085.3,2095.0,2125.0,2091.3,       2100.00,2101.3,2106.01,1766059,3719335180.8,105301,772172,43.72,2018-12-13,Dec-2018,0.7672756917469936,Slight Positive
HDFCBANK,EQ,14-Dec-2018,2101.3,2104.9,2118.0,2088.05,       2095.10,2095.7,2100.36,1539571,3233650712.4,86089,779545,50.63,2018-12-14,Dec-2018,-0.2665016894303651,Slight or No Change
HDFCBANK,EQ,17-Dec-2018,2095.7,2104.0,2132.6,2099.0,       2128.50,2130.2,2120.53,2109331,4472890885.35,86084,1367963,64.85,2018-12-17,Dec-2018,1.6462279906475086,Positve
HDFCBANK,EQ,18-Dec-2018,2130.2,2124.0,2139.0,2102.6,       2138.10,2135.45,2120.42,1853492,3930178580.25,73591,830866,44.83,2018-12-18,Dec-2018,0.24645573185615444,Slight or No Change
HDFCBANK,EQ,19-Dec-2018,2135.45,2133.1,2159.4,2113.55,       2123.00,2123.45,2129.21,2252474,4795995431.55,118427,1162216,51.6,2018-12-19,Dec-2018,-0.561942447727648,Slight Negative
HDFCBANK,EQ,20-Dec-2018,2123.45,2112.55,2140.45,2102.65,       2138.00,2137.45,2119.71,1995119,4229074553.65,108131,779492,39.07,2018-12-20,Dec-2018,0.6593044338223164,Slight Positive
HDFCBANK,EQ,21-Dec-2018,2137.45,2134.0,2149.1,2109.05,       2111.15,2111.15,2126.59,2555077,5433609822.6,146305,1500441,58.72,2018-12-21,Dec-2018,-1.2304381389038221,Negative
HDFCBANK,EQ,24-Dec-2018,2111.15,2104.0,2104.0,2077.35,       2083.00,2080.65,2088.5,1400372,2924675632.5,65118,767268,54.79,2018-12-24,Dec-2018,-1.4447102290220948,Negative
HDFCBANK,EQ,26-Dec-2018,2080.65,2077.0,2127.0,2069.0,       2124.80,2122.35,2093.35,1900479,3978376727.0,77934,884634,46.55,2018-12-26,Dec-2018,2.0041813856246815,Positve
HDFCBANK,EQ,27-Dec-2018,2122.35,2133.0,2138.2,2098.45,       2107.00,2105.05,2115.65,2909967,6156462276.7,101521,1011944,34.78,2018-12-27,Dec-2018,-0.815134167314524,Slight Negative
HDFCBANK,EQ,28-Dec-2018,2105.05,2117.35,2137.75,2115.5,       2124.00,2122.9,2124.98,2353903,5001999453.5,104735,1130711,48.04,2018-12-28,Dec-2018,0.8479608560366669,Slight Positive
HDFCBANK,EQ,31-Dec-2018,2122.9,2137.0,2137.0,2116.7,       2121.85,2121.7,2124.35,1466632,3115638472.7,71843,794268,54.16,2018-12-31,Dec-2018,-0.0565264496679152,Slight or No Change
HDFCBANK,EQ,01-Jan-2019,2121.7,2127.65,2151.0,2105.6,       2149.00,2148.1,2131.37,1593360,3396043277.4,50308,792410,49.73,2019-01-01,Jan-2019,1.2442852429655593,Positve
HDFCBANK,EQ,02-Jan-2019,2148.1,2142.8,2147.5,2119.7,       2127.00,2128.5,2132.45,2033558,4336463537.4,95751,998186,49.09,2019-01-02,Jan-2019,-0.9124342442158095,Slight Negative
HDFCBANK,EQ,03-Jan-2019,2128.5,2124.2,2128.25,2103.0,       2110.00,2111.8,2112.75,3192916,6745826356.05,129992,2037811,63.82,2019-01-03,Jan-2019,-0.7845900869156597,Slight Negative
HDFCBANK,EQ,04-Jan-2019,2111.8,2115.25,2128.5,2110.35,       2118.85,2117.45,2119.55,1821780,3861355797.55,71863,990354,54.36,2019-01-04,Jan-2019,0.2675442750260215,Slight or No Change
HDFCBANK,EQ,07-Jan-2019,2117.45,2127.7,2135.35,2118.0,       2120.50,2120.65,2128.37,1346753,2866387728.65,51524,763086,56.66,2019-01-07,Jan-2019,0.15112517414817006,Slight or No Change
HDFCBANK,EQ,08-Jan-2019,2120.65,2122.0,2123.5,2096.65,       2102.90,2103.0,2105.77,2085865,4392343434.15,63105,1156791,55.46,2019-01-08,Jan-2019,-0.8322919859477085,Slight Negative
HDFCBANK,EQ,09-Jan-2019,2103.0,2118.0,2121.35,2102.6,       2116.80,2116.8,2112.62,2142157,4525566666.15,86929,1494458,69.76,2019-01-09,Jan-2019,0.6562054208274049,Slight Positive
HDFCBANK,EQ,10-Jan-2019,2116.8,2117.0,2123.8,2092.65,       2106.60,2108.5,2114.87,1922885,4066660283.85,79438,1122621,58.38,2019-01-10,Jan-2019,-0.3921012849584349,Slight or No Change
HDFCBANK,EQ,11-Jan-2019,2108.5,2113.8,2124.0,2108.0,       2115.00,2111.9,2114.59,1602010,3387596238.95,68529,867953,54.18,2019-01-11,Jan-2019,0.16125207493478122,Slight or No Change
HDFCBANK,EQ,14-Jan-2019,2111.9,2109.9,2109.9,2098.45,       2104.90,2101.65,2102.69,1213790,2552219684.45,58066,817354,67.34,2019-01-14,Jan-2019,-0.4853449500449858,Slight or No Change
HDFCBANK,EQ,15-Jan-2019,2101.65,2105.05,2126.5,2102.0,       2117.00,2121.9,2118.86,1271889,2694949646.95,55681,724280,56.95,2019-01-15,Jan-2019,0.9635286560559564,Slight Positive
HDFCBANK,EQ,16-Jan-2019,2121.9,2120.05,2125.0,2108.25,       2117.00,2120.2,2118.69,1313113,2782077967.0,72148,910308,69.32,2019-01-16,Jan-2019,-0.08011687638438403,Slight or No Change
HDFCBANK,EQ,17-Jan-2019,2120.2,2125.25,2135.9,2113.35,       2130.40,2132.3,2124.86,2060057,4377341580.55,77528,1170828,56.83,2019-01-17,Jan-2019,0.5707008772757538,Slight Positive
HDFCBANK,EQ,18-Jan-2019,2132.3,2135.0,2139.0,2114.55,       2130.00,2130.25,2128.13,1301994,2770812571.25,67451,665655,51.13,2019-01-18,Jan-2019,-0.0961403179665199,Slight or No Change
HDFCBANK,EQ,21-Jan-2019,2130.25,2139.95,2166.5,2126.5,       2145.40,2148.15,2151.51,4390378,9445947630.45,144556,1638668,37.32,2019-01-21,Jan-2019,0.8402769627978035,Slight Positive
HDFCBANK,EQ,22-Jan-2019,2148.15,2146.0,2146.8,2129.05,       2132.25,2135.85,2136.85,2199244,4699456324.45,119550,1304339,59.31,2019-01-22,Jan-2019,-0.5725857132881873,Slight Negative
HDFCBANK,EQ,23-Jan-2019,2135.85,2134.0,2135.85,2101.45,       2106.95,2105.4,2123.27,1906072,4047104726.75,85545,1264167,66.32,2019-01-23,Jan-2019,-1.4256619144602745,Negative
HDFCBANK,EQ,24-Jan-2019,2105.4,2110.0,2121.65,2097.9,       2098.60,2102.25,2109.73,2527893,5333167868.85,141995,1465573,57.98,2019-01-24,Jan-2019,-0.14961527500713112,Slight or No Change
HDFCBANK,EQ,25-Jan-2019,2102.25,2093.0,2110.0,2090.0,       2092.05,2096.0,2102.2,2815559,5918870073.55,109171,1684610,59.83,2019-01-25,Jan-2019,-0.2973005113568794,Slight or No Change
HDFCBANK,EQ,28-Jan-2019,2096.0,2090.0,2102.05,2076.75,       2087.00,2084.15,2090.88,3840109,8029190019.85,170502,2636056,68.65,2019-01-28,Jan-2019,-0.5653625954198382,Slight Negative
HDFCBANK,EQ,29-Jan-2019,2084.15,2078.25,2083.0,2053.0,       2059.40,2057.6,2067.93,3690697,7632110523.3,124666,2636216,71.43,2019-01-29,Jan-2019,-1.2739006309526735,Negative
HDFCBANK,EQ,30-Jan-2019,2057.6,2057.25,2057.25,2028.0,       2033.50,2034.7,2035.54,4628540,9421572630.55,197593,3817215,82.47,2019-01-30,Jan-2019,-1.112947122861585,Negative
HDFCBANK,EQ,31-Jan-2019,2034.7,2031.0,2089.75,2022.0,       2073.00,2079.95,2060.96,4144851,8542369085.8,155825,2238129,54.0,2019-01-31,Jan-2019,2.223915073475191,Positve
HDFCBANK,EQ,01-Feb-2019,2079.95,2079.95,2117.0,2076.6,       2095.75,2090.45,2099.48,3913547,8216405021.45,116055,2360380,60.31,2019-02-01,Feb-2019,0.504819827399694,Slight Positive
HDFCBANK,EQ,04-Feb-2019,2090.45,2095.0,2113.0,2082.65,       2098.55,2104.9,2097.57,1984572,4162769920.2,145764,1156072,58.25,2019-02-04,Feb-2019,0.6912387285034516,Slight Positive
HDFCBANK,EQ,05-Feb-2019,2104.9,2108.0,2119.0,2097.0,       2115.00,2114.05,2110.78,2172572,4585820145.8,73303,1548389,71.27,2019-02-05,Feb-2019,0.4346999857475442,Slight or No Change
HDFCBANK,EQ,06-Feb-2019,2114.05,2116.25,2127.0,2113.6,       2122.00,2122.65,2120.9,2718921,5766554240.8,106255,1880675,69.17,2019-02-06,Feb-2019,0.40680210969465946,Slight or No Change
